"","primary_addr_city","count"
"1","Alameda",2535
"2","Antioch",1297
"3","Belmont",1061
"4","Berkeley",3258
"5","Brisbane",1862
"6","Brisbane Q4068",7253
"7","Burlingame",3328
"8","Chicago",1010
"9","Concord",3601
"10","Daly City",8919
"11","Daly+city",1446
"12","Emeryville",1351
"13","Foster City",1249
"14","Fremont",2675
"15","Hayward",6097
"16","Hillsborough",2251
"17","Livermore",2372
"18","Los Angeles",1899
"19","Mexico",3529
"20","Mill Valley",2096
"21","Millbrae",1919
"22","New York",4112
"23","Novato",3111
"24","Oakland",14326
"25","Pacifica",3517
"26","Petaluma",2396
"27","Pleasanton",2058
"28","Redwood City",2671
"29","Richmond",3914
"30","S San Fran",6372
"31","Sacramento",2930
"32","San Anselmo",1045
"33","San Bruno",3435
"34","San Carlos",1972
"35","San Diego",1404
"36","San Francisco",1523614
"37","San Jose",7927
"38","San Leandro",4094
"39","San Mateo",4217
"40","San Rafael",5338
"41","San Ramon",1350
"42","Santa Clara",2020
"43","Santa Rosa",2339
"44","Sausalito",1187
"45","South San Francisco",2175
"46","Stockton",1007
"47","Sunnyvale",1309
"48","Union City",1123
"49","Vallejo",1543
"50","Walnut Creek",2434
ACTON,1592
AGOURA HILLS,12639
ALHAMBRA,6785
ALTADENA,4022
ANAHEIM,18996
ARCADIA,5332
ARLETA,17707
ATLANTA,1666
AUSTIN,1240
AZUSA,3522
BAKERSFIELD,3323
BALDWIN PARK,3745
BELL GARDENS,2495
BELLFLOWER,3003
BEVERLY HILLS,54372
BOSTON,1067
BREA,4662
BUENA PARK,4147
BURBANK,41967
CALABASAS,20200
CAMARILLO,5159
CANOGA PARK,94186
CANYON COUNTRY,6734
CARLSBAD,2360
CARSON,8859
CASTAIC,2229
CENTURY CITY,1066
CERRITOS,5623
CHATSWORTH,103316
CHICAGO,2656
CHINO,6207
CHINO HILLS,1587
CITY OF INDUSTRY,5473
CLAREMONT,1176
COMMERCE,10801
COMPTON,7965
CORONA,8224
COSTA MESA,5694
COVINA,3935
CULVER CITY,38103
CY OF INDUSTY,1242
CYPRESS,3330
DALLAS,1597
DENVER,1073
DIAMOND BAR,2072
DOWNEY,6578
DUARTE,1897
EL MONTE,6007
EL SEGUNDO,10695
ENCINO,147871
ESCONDIDO,1721
FONTANA,4707
FOUNTAIN VALLEY,1763
FRESNO,1502
FULLERTON,6381
GARDEN GROVE,4869
GARDENA,38586
GLENDALE,43992
GLENDORA,3263
GRANADA HILLS,56537
HACIENDA HEIGHTS,1608
HARBOR CITY,18298
HAWTHORNE,7027
HERMOSA BEACH,1895
HOLLYWOOD,9185
HOUSTON,2519
HUNTINGTN BCH,1973
HUNTINGTON BEACH,7023
HUNTINGTON PARK,2655
INGLEWOOD,14612
IRVINE,14576
IRWINDALE,2629
LA CANADA,3464
LA CRESCENTA,6696
LA HABRA,2894
LA MIRADA,2962
LA PUENTE,3563
LA VERNE,1978
LAGUNA BEACH,1005
LAGUNA HILLS,1793
LAGUNA NIGUEL,1355
LAKE BALBOA,3478
LAKE ELSINORE,1110
LAKE FOREST,2083
LAKE VIEW TERRACE,3232
LAKEWOOD,2162
LANCASTER,5724
LAS VEGAS,3200
LAWNDALE,2641
LOMITA,3113
LONG BEACH,27003
LOS ALAMITOS,2785
LOS ANGELES,3153166
LYNWOOD,2162
MALIBU,7405
MANHATTAN BEACH,3924
MARINA DEL REY,34628
MARINA DEL RY,2943
MISSION HILLS,18761
MISSION VIEJO,1521
MONROVIA,4759
MONTCLAIR,1623
MONTEBELLO,6314
MONTEREY PARK,6740
MONTROSE,2278
MOORPARK,4521
MORENO VALLEY,1214
MURRIETA,2330
N HOLLYWOOD,114789
NEW YORK,9783
NEWBURY PARK,4417
NEWHALL,3838
NEWPORT BEACH,4501
NORCO,1432
NORTH HILLS,33228
NORTH HOLLYWOOD,111202
NORTHRIDGE,128799
NORWALK,3716
OAK PARK,2342
OAKLAND,1567
OCEANSIDE,1304
OJAI,1032
ONTARIO,9036
ORANGE,11016
OXNARD,4717
PACIFIC PALISADES,40075
PACOIMA,35401
PALM DESERT,1667
PALM SPRINGS,1296
PALMDALE,7814
PALOS VERDES ESTATES,1345
PANORAMA CITY,38760
PARAMOUNT,5627
PASADENA,24657
PCFIC PALSADS,2387
PERRIS,1101
PHOENIX,2226
PICO RIVERA,3474
PLACENTIA,2533
PLAYA DEL REY,15654
PLAYA VISTA,4393
POMONA,6240
PORTER RANCH,9685
PORTLAND,1768
RANCHO CUCAMONGA,4840
RANCHO PALOS VERDES,3481
REDLANDS,1159
REDONDO BEACH,7213
RESEDA,59721
RIALTO,1048
RIVERSIDE,9686
ROLLING HILLS ESTATES,1617
ROSEMEAD,2541
ROWLAND HEIGHTS,1090
S EL MONTE,3298
S PASADENA,1594
SACRAMENTO,3057
SAN BERNARDINO,2032
SAN CLEMENTE,1895
SAN DIEGO,8818
SAN DIMAS,3305
SAN FERNANDO,13357
SAN FRANCISCO,4760
SAN GABRIEL,3606
SAN JOSE,1966
SAN MARCOS,1113
SAN MARINO,1323
SAN PEDRO,68529
SANTA ANA,11709
SANTA BARBARA,2898
SANTA CLARITA,9699
SANTA FE SPGS,3002
SANTA FE SPRINGS,13398
SANTA MONICA,46272
SAUGUS,1268
SEAL BEACH,1010
SEATTLE,1558
SHADOW HILLS,1832
SHERMAN OAKS,175869
SIGNAL HILL,4423
SIMI VALLEY,17230
SOUTH EL MONTE,1325
SOUTH GATE,3903
SOUTH PASADENA,2517
STANTON,1387
STEVENSON RANCH,1771
STUDIO CITY,87832
SUN VALLEY,67966
SUNLAND,15836
SYLMAR,44457
TARZANA,86326
TEMECULA,2530
TEMPLE CITY,1775
THOUSAND OAKS,8181
TOLUCA LAKE,13858
TOPANGA,3280
TORRANCE,46686
TUJUNGA,22552
TUSTIN,3174
UNIVERSAL CITY,2156
UPLAND,3927
VALENCIA,15219
VALLEY GLEN,2190
VALLEY VILLAGE,28340
VAN NUYS,235892
VENICE,65794
VENTURA,5420
VERNON,18460
VISTA,1458
W HOLLYWOOD,1522
WALNUT,3800
WASHINGTON,1571
WEST COVINA,3533
WEST HILLS,40530
WEST HOLLYWOOD,24646
WESTCHESTER,1801
WESTLAKE VILLAGE,10308
WESTLAKE VLG,1469
WESTMINSTER,1831
WHITTIER,7570
WILMINGTON,39250
WINNETKA,24383
WOODLAND HILLS,164554
WOODLAND HLS,13005
YORBA LINDA,2818
