parsed_city,year,num_establishments_bls,num_establishments_business_loc
baton rouge,1994,8871.0,3079
baton rouge,1995,9054.0,3408
baton rouge,1996,9301.0,3738
baton rouge,1997,9831.0,4182
baton rouge,1998,9964.0,4561
baton rouge,1999,9971.0,4988
baton rouge,2000,9952.0,5484
baton rouge,2001,9906.0,6048
baton rouge,2002,10125.0,6630
baton rouge,2003,10218.0,7338
baton rouge,2004,10207.0,8168
baton rouge,2005,10435.0,9141
baton rouge,2006,10755.0,10138
baton rouge,2007,11034.0,11136
baton rouge,2008,10979.0,11394
baton rouge,2009,10812.0,11640
baton rouge,2010,10876.0,11695
baton rouge,2011,10888.0,11777
baton rouge,2012,10813.0,11920
baton rouge,2013,10814.0,11968
baton rouge,2014,10791.0,12023
baton rouge,2015,10888.0,12199
baton rouge,2016,10933.0,12390
baton rouge,2017,10959.0,12710
baton rouge,2018,10896.0,12813
baker,1950,,1
baker,1951,,1
baker,1952,,1
baker,1953,,1
baker,1954,,1
baker,1955,,1
baker,1956,,1
baker,1957,,1
baker,1958,,1
baker,1959,,1
baker,1960,,1
baker,1961,,1
baker,1962,,1
baker,1963,,1
baker,1964,,1
baker,1965,,2
baker,1966,,2
baker,1967,,2
baker,1968,,2
baker,1969,,3
baker,1970,,4
baker,1971,,4
baker,1972,,4
baker,1973,,4
baker,1974,,6
baker,1975,,6
baker,1976,,6
baker,1977,,6
baker,1978,,9
baker,1979,,9
baker,1980,,11
baker,1981,,13
baker,1982,,13
baker,1983,,13
baker,1984,,15
baker,1985,,18
baker,1986,,23
baker,1987,,25
baker,1988,,29
baker,1989,,31
baker,1990,,33
baker,1991,,37
baker,1992,,40
baker,1993,,42
baker,1994,,46
baker,1995,,51
baker,1996,,64
baker,1997,,77
baker,1998,,86
baker,1999,,98
baker,2000,,105
baker,2001,,113
baker,2002,,123
baker,2003,,145
baker,2004,,164
baker,2005,,177
baker,2006,,197
baker,2007,,214
baker,2008,,225
baker,2009,,242
baker,2010,,245
baker,2011,,239
baker,2012,,236
baker,2013,,247
baker,2014,,245
baker,2015,,245
baker,2016,,253
baker,2017,,253
baker,2018,,258
baker,2019,,270
baker,2020,,271
baton rouge,1950,,151
baton rouge,1951,,197
baton rouge,1952,,199
baton rouge,1953,,205
baton rouge,1954,,205
baton rouge,1955,,208
baton rouge,1956,,223
baton rouge,1957,,228
baton rouge,1958,,232
baton rouge,1959,,244
baton rouge,1960,,251
baton rouge,1961,,257
baton rouge,1962,,266
baton rouge,1963,,274
baton rouge,1964,,278
baton rouge,1965,,289
baton rouge,1966,,299
baton rouge,1967,,307
baton rouge,1968,,318
baton rouge,1969,,333
baton rouge,1970,,355
baton rouge,1971,,371
baton rouge,1972,,390
baton rouge,1973,,425
baton rouge,1974,,449
baton rouge,1975,,477
baton rouge,1976,,512
baton rouge,1977,,551
baton rouge,1978,,593
baton rouge,1979,,635
baton rouge,1980,,693
baton rouge,1981,,738
baton rouge,1982,,786
baton rouge,1983,,866
baton rouge,1984,,978
baton rouge,1985,,1109
baton rouge,1986,,1233
baton rouge,1987,,1384
baton rouge,1988,,1814
baton rouge,1989,,2010
baton rouge,1990,,2192
baton rouge,1991,,2409
baton rouge,1992,,2616
baton rouge,1993,,2838
baton rouge,2019,,13077
baton rouge,2020,,13406
central,1978,,1
central,1979,,1
central,1980,,2
central,1981,,3
central,1982,,4
central,1983,,4
central,1984,,6
central,1985,,11
central,1986,,11
central,1987,,12
central,1988,,16
central,1989,,17
central,1990,,19
central,1991,,21
central,1992,,26
central,1993,,29
central,1994,,37
central,1995,,39
central,1996,,40
central,1997,,44
central,1998,,50
central,1999,,56
central,2000,,64
