parsed_city,zip,year,num_establishments_bls,parsed_addr_zip,num_establishments_business_loc
baton rouge,_70801,1994,148.0,_70801,37.0
baton rouge,_70801,1995,157.0,_70801,40.0
baton rouge,_70801,1996,158.0,_70801,43.0
baton rouge,_70801,1997,171.0,_70801,48.0
baton rouge,_70801,1998,164.0,_70801,52.0
baton rouge,_70801,1999,174.0,_70801,58.0
baton rouge,_70801,2000,173.0,_70801,65.0
baton rouge,_70801,2001,160.0,_70801,69.0
baton rouge,_70801,2002,184.0,_70801,81.0
baton rouge,_70801,2003,191.0,_70801,92.0
baton rouge,_70801,2004,188.0,_70801,102.0
baton rouge,_70801,2005,206.0,_70801,122.0
baton rouge,_70801,2006,218.0,_70801,136.0
baton rouge,_70801,2007,207.0,_70801,144.0
baton rouge,_70801,2008,214.0,_70801,146.0
baton rouge,_70801,2009,225.0,_70801,154.0
baton rouge,_70801,2010,221.0,_70801,153.0
baton rouge,_70801,2011,211.0,_70801,152.0
baton rouge,_70801,2012,202.0,_70801,161.0
baton rouge,_70801,2013,212.0,_70801,156.0
baton rouge,_70801,2014,220.0,_70801,160.0
baton rouge,_70801,2015,207.0,_70801,160.0
baton rouge,_70801,2016,219.0,_70801,169.0
baton rouge,_70801,2017,196.0,_70801,164.0
baton rouge,_70801,2018,202.0,_70801,173.0
baton rouge,_70802,1994,622.0,_70802,191.0
baton rouge,_70802,1995,612.0,_70802,220.0
baton rouge,_70802,1996,627.0,_70802,237.0
baton rouge,_70802,1997,688.0,_70802,252.0
baton rouge,_70802,1998,677.0,_70802,268.0
baton rouge,_70802,1999,669.0,_70802,294.0
baton rouge,_70802,2000,646.0,_70802,322.0
baton rouge,_70802,2001,644.0,_70802,363.0
baton rouge,_70802,2002,650.0,_70802,393.0
baton rouge,_70802,2003,660.0,_70802,432.0
baton rouge,_70802,2004,657.0,_70802,473.0
baton rouge,_70802,2005,669.0,_70802,513.0
baton rouge,_70802,2006,675.0,_70802,559.0
baton rouge,_70802,2007,679.0,_70802,607.0
baton rouge,_70802,2008,682.0,_70802,625.0
baton rouge,_70802,2009,675.0,_70802,655.0
baton rouge,_70802,2010,669.0,_70802,656.0
baton rouge,_70802,2011,684.0,_70802,695.0
baton rouge,_70802,2012,664.0,_70802,712.0
baton rouge,_70802,2013,659.0,_70802,722.0
baton rouge,_70802,2014,635.0,_70802,744.0
baton rouge,_70802,2015,642.0,_70802,763.0
baton rouge,_70802,2016,656.0,_70802,764.0
baton rouge,_70802,2017,661.0,_70802,804.0
baton rouge,_70802,2018,641.0,_70802,858.0
baton rouge,_70803,1994,25.0,,
baton rouge,_70803,1995,19.0,,
baton rouge,_70803,1996,19.0,,
baton rouge,_70803,1997,17.0,,
baton rouge,_70803,1998,18.0,,
baton rouge,_70803,1999,19.0,,
baton rouge,_70803,2000,23.0,,
baton rouge,_70803,2001,24.0,,
baton rouge,_70803,2002,22.0,,
baton rouge,_70803,2003,27.0,,
baton rouge,_70803,2004,26.0,,
baton rouge,_70803,2005,29.0,,
baton rouge,_70803,2006,28.0,_70803,1.0
baton rouge,_70803,2007,25.0,_70803,1.0
baton rouge,_70803,2008,35.0,_70803,1.0
baton rouge,_70803,2009,35.0,_70803,1.0
baton rouge,_70803,2010,36.0,_70803,1.0
baton rouge,_70803,2011,43.0,_70803,1.0
baton rouge,_70803,2012,67.0,_70803,1.0
baton rouge,_70803,2013,68.0,_70803,1.0
baton rouge,_70803,2014,67.0,_70803,1.0
baton rouge,_70803,2015,64.0,_70803,1.0
baton rouge,_70803,2016,62.0,_70803,1.0
baton rouge,_70803,2017,58.0,_70803,1.0
baton rouge,_70803,2018,56.0,_70803,1.0
baton rouge,_70805,1994,541.0,_70805,185.0
baton rouge,_70805,1995,557.0,_70805,205.0
baton rouge,_70805,1996,549.0,_70805,225.0
baton rouge,_70805,1997,531.0,_70805,248.0
baton rouge,_70805,1998,517.0,_70805,266.0
baton rouge,_70805,1999,521.0,_70805,296.0
baton rouge,_70805,2000,511.0,_70805,324.0
baton rouge,_70805,2001,503.0,_70805,363.0
baton rouge,_70805,2002,494.0,_70805,387.0
baton rouge,_70805,2003,496.0,_70805,424.0
baton rouge,_70805,2004,494.0,_70805,475.0
baton rouge,_70805,2005,489.0,_70805,533.0
baton rouge,_70805,2006,499.0,_70805,577.0
baton rouge,_70805,2007,514.0,_70805,639.0
baton rouge,_70805,2008,511.0,_70805,635.0
baton rouge,_70805,2009,495.0,_70805,635.0
baton rouge,_70805,2010,508.0,_70805,645.0
baton rouge,_70805,2011,520.0,_70805,642.0
baton rouge,_70805,2012,509.0,_70805,634.0
baton rouge,_70805,2013,503.0,_70805,650.0
baton rouge,_70805,2014,479.0,_70805,631.0
baton rouge,_70805,2015,485.0,_70805,642.0
baton rouge,_70805,2016,481.0,_70805,665.0
baton rouge,_70805,2017,472.0,_70805,684.0
baton rouge,_70805,2018,475.0,_70805,680.0
baton rouge,_70806,1994,1491.0,_70806,435.0
baton rouge,_70806,1995,1466.0,_70806,487.0
baton rouge,_70806,1996,1452.0,_70806,522.0
baton rouge,_70806,1997,1464.0,_70806,565.0
baton rouge,_70806,1998,1466.0,_70806,611.0
baton rouge,_70806,1999,1424.0,_70806,657.0
baton rouge,_70806,2000,1426.0,_70806,727.0
baton rouge,_70806,2001,1394.0,_70806,795.0
baton rouge,_70806,2002,1365.0,_70806,873.0
baton rouge,_70806,2003,1368.0,_70806,937.0
baton rouge,_70806,2004,1330.0,_70806,1022.0
baton rouge,_70806,2005,1351.0,_70806,1148.0
