parsed_city,year,num_establishments_bls,num_establishments_business_loc
chicago,1995,60822.0,37
chicago,1996,61105.0,118
chicago,1997,62271.0,149
chicago,1998,62681.0,162
chicago,1999,62874.0,282
chicago,2000,63020.0,923
chicago,2001,62393.0,5194
chicago,2002,62494.0,40095
chicago,2003,62749.0,45363
chicago,2004,63583.0,46373
chicago,2005,64222.0,46983
chicago,2006,64811.0,47435
chicago,2007,65280.0,47931
chicago,2008,64877.0,48459
chicago,2009,63860.0,51054
chicago,2010,63922.0,50447
chicago,2011,64249.0,50249
chicago,2012,65074.0,50619
chicago,2013,65961.0,49892
chicago,2014,66337.0,48696
chicago,2015,67281.0,47762
chicago,2016,67833.0,46360
chicago,2017,68157.0,45889
chicago,2018,68043.0,45372
chicago,2019,,44586
chicago,2020,,40983
chicago,2021,,29454
chicago,2022,,10581
