parsed_city,year,num_establishments_bls,num_establishments_business_loc
san diego,1994,27855.0,22438
san diego,1995,27791.0,25302
san diego,1996,28320.0,28196
san diego,1997,29614.0,31058
san diego,1998,30062.0,32960
san diego,1999,30667.0,34373
san diego,2000,31402.0,35710
san diego,2001,31824.0,36668
san diego,2002,32942.0,37282
san diego,2003,33518.0,40076
san diego,2004,34517.0,42173
san diego,2005,35361.0,43964
san diego,2006,36264.0,44689
san diego,2007,36455.0,48106
san diego,2008,36087.0,47825
san diego,2009,35644.0,44771
san diego,2010,35531.0,42080
san diego,2011,35693.0,40594
san diego,2012,36432.0,39968
san diego,2013,37124.0,41198
san diego,2014,37904.0,44780
san diego,2015,38858.0,47260
san diego,2016,39530.0,47589
san diego,2017,40243.0,46506
san diego,2018,40752.0,46015
chula vista,1999,,1
chula vista,2000,,1
chula vista,2001,,1
chula vista,2002,,1
chula vista,2003,,1
chula vista,2004,,1
del mar,1974,,1
del mar,1975,,1
del mar,1976,,1
del mar,1977,,1
del mar,1978,,1
del mar,1979,,1
del mar,1980,,1
del mar,1981,,1
del mar,1982,,2
del mar,1983,,2
del mar,1984,,2
del mar,1985,,3
del mar,1986,,4
del mar,1987,,4
del mar,1988,,7
del mar,1989,,10
del mar,1990,,34
del mar,1991,,58
del mar,1992,,81
del mar,1993,,92
del mar,1994,,103
del mar,1995,,121
del mar,1996,,136
del mar,1997,,138
del mar,1998,,151
del mar,1999,,158
del mar,2000,,168
del mar,2001,,170
del mar,2002,,175
del mar,2003,,187
del mar,2004,,195
del mar,2005,,213
del mar,2006,,203
del mar,2007,,202
del mar,2008,,198
del mar,2009,,189
del mar,2010,,187
del mar,2011,,177
del mar,2012,,176
del mar,2013,,165
del mar,2014,,166
del mar,2015,,165
del mar,2016,,164
del mar,2017,,157
del mar,2018,,155
del mar,2019,,150
del mar,2020,,146
del mar,2021,,116
escondido,1992,,1
escondido,1993,,1
escondido,1994,,1
escondido,1995,,1
escondido,1996,,1
escondido,1997,,1
escondido,1998,,1
escondido,1999,,1
escondido,2000,,1
escondido,2001,,2
escondido,2002,,2
escondido,2003,,2
escondido,2004,,2
escondido,2005,,2
escondido,2006,,2
escondido,2007,,2
escondido,2008,,2
escondido,2009,,3
escondido,2010,,3
escondido,2011,,3
escondido,2012,,3
escondido,2013,,3
escondido,2014,,3
escondido,2015,,4
escondido,2016,,4
escondido,2017,,4
escondido,2018,,3
escondido,2019,,3
escondido,2020,,3
escondido,2021,,1
ln jolla,1974,,33
ln jolla,1975,,37
ln jolla,1976,,43
ln jolla,1977,,47
ln jolla,1978,,53
ln jolla,1979,,61
ln jolla,1980,,69
ln jolla,1981,,78
ln jolla,1982,,87
ln jolla,1983,,99
ln jolla,1984,,121
ln jolla,1985,,133
ln jolla,1986,,146
ln jolla,1987,,171
ln jolla,1988,,184
ln jolla,1989,,199
ln jolla,1990,,544
ln jolla,1991,,847
ln jolla,1992,,1019
ln jolla,1993,,1104
ln jolla,1994,,1217
ln jolla,1995,,1376
ln jolla,1996,,1529
ln jolla,1997,,1717
ln jolla,1998,,1803
ln jolla,1999,,1861
ln jolla,2000,,1898
ln jolla,2001,,1884
ln jolla,2002,,1864
ln jolla,2003,,1973
ln jolla,2004,,2066
ln jolla,2005,,2105
ln jolla,2006,,2110
ln jolla,2007,,2132
ln jolla,2008,,2070
