parsed_city,year,num_establishments_bls,num_establishments_business_loc
seattle,1994,24189.0,15315
seattle,1995,24431.0,17064
seattle,1996,24734.0,19347
seattle,1997,25235.0,21531
seattle,1998,25447.0,24160
seattle,1999,25637.0,27894
seattle,2000,25681.0,31962
seattle,2001,25364.0,34796
seattle,2002,25164.0,35850
seattle,2003,25267.0,36691
seattle,2004,25904.0,37794
seattle,2005,26393.0,39017
seattle,2006,26867.0,40496
seattle,2007,27182.0,41744
seattle,2008,27206.0,42104
seattle,2009,26929.0,43673
seattle,2010,26961.0,42532
seattle,2011,26819.0,44135
seattle,2012,27520.0,46077
seattle,2013,27475.0,48325
seattle,2014,27905.0,50435
seattle,2015,28683.0,52560
seattle,2016,29169.0,54272
seattle,2017,29439.0,52765
seattle,2018,29754.0,52752
seattle,1929,,1
seattle,1930,,2
seattle,1931,,3
seattle,1932,,3
seattle,1933,,3
seattle,1934,,4
seattle,1935,,4
seattle,1936,,4
seattle,1937,,4
seattle,1938,,4
seattle,1939,,4
seattle,1940,,5
seattle,1941,,7
seattle,1942,,8
seattle,1943,,45
seattle,1944,,48
seattle,1945,,49
seattle,1946,,52
seattle,1947,,57
seattle,1948,,64
seattle,1949,,70
seattle,1950,,79
seattle,1951,,87
seattle,1952,,100
seattle,1953,,118
seattle,1954,,138
seattle,1955,,159
seattle,1956,,174
seattle,1957,,190
seattle,1958,,217
seattle,1959,,264
seattle,1960,,302
seattle,1961,,360
seattle,1962,,404
seattle,1963,,444
seattle,1964,,500
seattle,1965,,556
seattle,1966,,631
seattle,1967,,716
seattle,1968,,774
seattle,1969,,931
seattle,1970,,1045
seattle,1971,,1160
seattle,1972,,1326
seattle,1973,,1496
seattle,1974,,1664
seattle,1975,,1851
seattle,1976,,2088
seattle,1977,,2350
seattle,1978,,2626
seattle,1979,,2943
seattle,1980,,3294
seattle,1981,,3743
seattle,1982,,4244
seattle,1983,,4898
seattle,1984,,5480
seattle,1985,,6171
seattle,1986,,6897
seattle,1987,,7840
seattle,1988,,8740
seattle,1989,,9615
seattle,1990,,10477
seattle,1991,,11461
seattle,1992,,12587
seattle,1993,,13779
seattle,2019,,53306
seattle,2020,,53281
