location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1995.0,51,7,51.0,51.0,51.0,51.0
1996.0,122,7,122.0,122.0,122.0,122.0
1997.0,107,13,107.0,107.0,107.0,107.0
1998.0,133,6,133.0,133.0,133.0,133.0
1999.0,372,34,372.0,372.0,372.0,372.0
2000.0,1384,133,1384.0,1384.0,1384.0,1384.0
2001.0,8175,562,8175.0,8175.0,8175.0,8175.0
2002.0,85366,6295,85366.0,85366.0,85366.0,85366.0
2003.0,84799,6348,84799.0,84799.0,84799.0,84799.0
2004.0,89294,6784,89294.0,89294.0,89294.0,89294.0
2005.0,80221,5381,80221.0,80221.0,80221.0,80221.0
2006.0,80066,5223,80066.0,80066.0,80066.0,80066.0
2007.0,80144,4721,80144.0,80144.0,80144.0,80144.0
2008.0,44823,2520,44823.0,44823.0,44823.0,44823.0
2009.0,45713,2750,45713.0,45713.0,45713.0,45713.0
2010.0,43225,2210,43225.0,43225.0,43225.0,43225.0
2011.0,42815,2334,42815.0,42815.0,42815.0,42815.0
2012.0,53733,3262,53733.0,53733.0,53733.0,53727.0
2013.0,38642,1824,38642.0,38642.0,38642.0,38628.0
2014.0,36261,1521,36261.0,36261.0,36261.0,36256.0
2015.0,36708,1543,36708.0,36708.0,36708.0,36691.0
2016.0,33467,1292,33467.0,33467.0,33467.0,33458.0
2017.0,37141,2555,37141.0,37141.0,37141.0,37132.0
2018.0,33803,1634,33803.0,33803.0,33803.0,33803.0
2019.0,34810,992,34810.0,34810.0,34810.0,34799.0
2020.0,19067,143,19067.0,19067.0,19067.0,19061.0
2021.0,3,0,3.0,3.0,3.0,3.0
