location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1801.0,1,0.0,1.0,1.0,1.0,0.0
1820.0,2,0.0,2.0,2.0,2.0,1.0
1850.0,1,0.0,1.0,1.0,1.0,0.0
1852.0,1,0.0,1.0,1.0,1.0,0.0
1860.0,1,0.0,1.0,1.0,1.0,0.0
1868.0,1,0.0,1.0,1.0,1.0,0.0
1871.0,1,0.0,1.0,1.0,1.0,0.0
1877.0,1,0.0,1.0,1.0,1.0,0.0
1901.0,12,0.0,12.0,12.0,12.0,0.0
1902.0,1,0.0,1.0,1.0,1.0,0.0
1903.0,1,0.0,1.0,1.0,1.0,0.0
1905.0,3,0.0,3.0,3.0,3.0,1.0
1906.0,1,0.0,1.0,1.0,1.0,0.0
1907.0,1,0.0,1.0,1.0,1.0,0.0
1908.0,1,0.0,1.0,1.0,1.0,1.0
1909.0,3,0.0,3.0,3.0,3.0,0.0
1910.0,2,0.0,2.0,2.0,2.0,0.0
1911.0,4,0.0,4.0,4.0,4.0,0.0
1913.0,1,0.0,1.0,1.0,1.0,1.0
1914.0,1,0.0,1.0,1.0,1.0,0.0
1915.0,4,0.0,4.0,4.0,4.0,1.0
1916.0,11,0.0,11.0,11.0,11.0,2.0
1917.0,15,0.0,15.0,15.0,15.0,3.0
1918.0,16,0.0,16.0,16.0,16.0,5.0
1919.0,18,0.0,18.0,18.0,18.0,2.0
1920.0,9,0.0,9.0,9.0,9.0,1.0
1921.0,1,0.0,1.0,1.0,1.0,0.0
1922.0,3,0.0,3.0,3.0,3.0,0.0
1924.0,1,0.0,1.0,1.0,1.0,0.0
1925.0,1,0.0,1.0,1.0,1.0,1.0
1926.0,2,0.0,2.0,2.0,2.0,1.0
1927.0,1,0.0,1.0,1.0,1.0,0.0
1928.0,1,0.0,1.0,1.0,1.0,0.0
1929.0,1,0.0,1.0,1.0,1.0,0.0
1931.0,1,0.0,1.0,1.0,1.0,0.0
1932.0,1,0.0,1.0,1.0,1.0,0.0
1933.0,2,0.0,2.0,2.0,2.0,0.0
1935.0,1,0.0,1.0,1.0,1.0,0.0
1936.0,1,0.0,1.0,1.0,1.0,0.0
1941.0,1,0.0,1.0,1.0,1.0,0.0
1943.0,1,0.0,1.0,1.0,1.0,0.0
1946.0,2,0.0,2.0,2.0,2.0,0.0
1947.0,1,0.0,1.0,1.0,1.0,0.0
1948.0,2,0.0,2.0,2.0,2.0,1.0
1949.0,2,0.0,2.0,2.0,2.0,0.0
1950.0,3,0.0,3.0,3.0,3.0,2.0
1951.0,1,0.0,1.0,1.0,1.0,0.0
1952.0,3,0.0,3.0,3.0,3.0,1.0
1953.0,2,0.0,2.0,2.0,2.0,0.0
1954.0,2,0.0,2.0,2.0,2.0,0.0
1955.0,2,0.0,2.0,2.0,2.0,1.0
1956.0,4,0.0,4.0,4.0,4.0,1.0
1957.0,3,0.0,3.0,3.0,3.0,0.0
1958.0,3,0.0,3.0,3.0,3.0,0.0
1959.0,2,0.0,2.0,2.0,2.0,2.0
1960.0,7,0.0,7.0,7.0,7.0,2.0
1961.0,8,0.0,8.0,8.0,8.0,0.0
1962.0,12,0.0,12.0,12.0,12.0,1.0
1963.0,7,0.0,7.0,7.0,7.0,2.0
1964.0,9,0.0,9.0,9.0,9.0,4.0
1965.0,15,0.0,15.0,15.0,15.0,2.0
1966.0,18,0.0,18.0,18.0,18.0,4.0
