location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1960,1,0,1.0,1.0,1.0,1
1964,1,0,1.0,1.0,1.0,1
1969,1,1,1.0,1.0,1.0,1
1973,3,0,3.0,3.0,3.0,3
1979,3,0,3.0,3.0,3.0,2
1980,3,0,3.0,3.0,3.0,3
1982,1,0,1.0,1.0,1.0,1
1985,3,0,3.0,3.0,3.0,2
1986,4,2,4.0,4.0,4.0,3
1987,11,2,11.0,11.0,11.0,9
1988,114,25,114.0,114.0,114.0,102
1989,13,3,13.0,13.0,13.0,11
1990,21,2,21.0,21.0,21.0,18
1991,40,8,40.0,40.0,40.0,36
1992,66,6,66.0,66.0,66.0,55
1993,98,16,98.0,98.0,98.0,82
1994,712,125,712.0,712.0,712.0,614
1995,3207,1449,3207.0,3207.0,3207.0,2669
1996,1570,371,1570.0,1570.0,1570.0,1263
1997,2886,592,2886.0,2886.0,2886.0,2303
1998,1368,420,1368.0,1368.0,1368.0,1001
1999,1314,338,1314.0,1314.0,1314.0,962
2000,1689,461,1689.0,1689.0,1689.0,1132
2001,2926,830,2926.0,2926.0,2926.0,1928
2002,3963,1060,3963.0,3963.0,3963.0,2162
2003,4111,1280,4111.0,4111.0,4111.0,2546
2004,4448,1130,4448.0,4448.0,4448.0,3919
2005,4668,981,4668.0,4668.0,4668.0,4609
2006,4863,1097,4863.0,4863.0,4863.0,4756
2007,4714,900,4714.0,4714.0,4714.0,4603
2008,3859,831,3859.0,3859.0,3859.0,3740
2009,3941,854,3941.0,3941.0,3941.0,3803
2010,4019,796,4019.0,4019.0,4019.0,3865
2011,3702,758,3702.0,3702.0,3702.0,3624
2012,3932,692,3932.0,3932.0,3932.0,3821
2013,3765,687,3765.0,3765.0,3765.0,3646
2014,3751,592,3751.0,3751.0,3751.0,3637
2015,3849,609,3849.0,3849.0,3849.0,3669
2016,4129,610,4129.0,4129.0,4129.0,3947
2017,4637,542,4637.0,4637.0,4637.0,4402
2018,4280,466,4280.0,4280.0,4280.0,3966
2019,3500,322,3500.0,3500.0,3500.0,2956
2020,3149,292,3149.0,3149.0,3149.0,1974
2021,305,38,305.0,305.0,305.0,223
