location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1993,0,4,5.0,5.0,5.0,5
1994,0,134,299.0,299.0,299.0,278
1995,0,75,179.0,179.0,179.0,167
1996,0,131,319.0,319.0,319.0,298
1997,0,281,613.0,613.0,613.0,588
1998,0,284,635.0,635.0,635.0,600
1999,0,525,1267.0,1267.0,1267.0,1168
2000,0,800,1833.0,1833.0,1833.0,1705
2001,0,3252,5519.0,5519.0,5519.0,5427
2002,0,1481,3084.0,3084.0,3084.0,2983
2003,0,13399,20775.0,20775.0,20775.0,20643
2004,0,29040,54065.0,54065.0,54065.0,53888
2005,0,10999,24126.0,24126.0,24126.0,23549
2006,0,9968,20605.0,20605.0,20605.0,20386
2007,0,8267,16448.0,16448.0,16448.0,16292
2008,0,6977,14573.0,14573.0,14573.0,14380
2009,0,5481,12231.0,12231.0,12231.0,11970
2010,0,5964,13962.0,13962.0,13962.0,12641
2011,0,5912,14868.0,14868.0,14868.0,13462
2012,0,6090,14919.0,14919.0,14919.0,14171
2013,0,6173,15574.0,15574.0,15574.0,14490
2014,0,6788,16525.0,16525.0,16525.0,15789
2015,0,6856,16650.0,16650.0,16650.0,16168
2016,0,7454,17807.0,17807.0,17807.0,17510
2017,0,7471,17302.0,17302.0,17302.0,17031
2018,0,7913,17597.0,17597.0,17597.0,17423
2019,0,7739,16527.0,16527.0,16527.0,16407
2020,0,5023,12378.0,12378.0,12378.0,12335
2021,0,212,496.0,496.0,496.0,495
