location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1900,0,0,0.0,0.0,0.0,0
1931,0,1,0.0,0.0,0.0,0
1947,0,0,0.0,0.0,0.0,0
1949,0,0,0.0,0.0,0.0,0
1950,0,33,0.0,0.0,0.0,138
1951,0,6,0.0,0.0,0.0,33
1952,0,0,0.0,0.0,0.0,1
1953,0,1,0.0,0.0,0.0,4
1954,0,1,0.0,0.0,0.0,1
1955,0,1,0.0,0.0,0.0,1
1956,0,1,0.0,0.0,0.0,8
1957,0,1,0.0,0.0,0.0,6
1958,0,1,0.0,0.0,0.0,3
1959,0,1,0.0,0.0,0.0,5
1960,0,0,0.0,0.0,0.0,7
1961,0,1,0.0,0.0,0.0,6
1962,0,1,0.0,0.0,0.0,8
1963,0,1,0.0,0.0,0.0,6
1964,0,0,0.0,0.0,0.0,3
1965,0,2,0.0,0.0,0.0,7
1966,0,0,0.0,0.0,0.0,5
1967,0,0,0.0,0.0,0.0,7
1968,0,2,0.0,0.0,0.0,13
1969,0,5,0.0,0.0,0.0,13
1970,0,7,0.0,0.0,0.0,18
1971,0,2,0.0,0.0,0.0,13
1972,0,3,0.0,0.0,0.0,19
1973,0,4,0.0,0.0,0.0,25
1974,0,9,0.0,0.0,0.0,20
1975,0,6,0.0,0.0,0.0,24
1976,0,10,0.0,0.0,0.0,40
1977,0,8,0.0,0.0,0.0,34
1978,0,13,0.0,0.0,0.0,43
1979,0,13,0.0,0.0,0.0,45
1980,0,7,0.0,0.0,0.0,55
1981,0,3,0.0,0.0,0.0,37
1982,0,18,0.0,0.0,0.0,56
1983,0,15,0.0,0.0,0.0,61
1984,0,23,0.0,0.0,0.0,109
1985,0,44,0.0,0.0,0.0,149
1986,0,40,0.0,0.0,0.0,148
1987,0,46,0.0,0.0,0.0,173
1988,0,388,0.0,0.0,0.0,523
1989,0,80,0.0,0.0,0.0,208
1990,0,95,0.0,0.0,0.0,221
1991,0,88,0.0,0.0,0.0,270
1992,0,90,0.0,0.0,0.0,259
1993,0,113,0.0,0.0,0.0,305
1994,0,116,0.0,0.0,0.0,321
1995,0,136,1.0,1.0,1.0,455
1996,0,119,0.0,0.0,0.0,414
1997,0,118,0.0,0.0,0.0,534
1998,0,127,0.0,0.0,0.0,505
1999,0,155,0.0,0.0,0.0,617
2000,0,160,0.0,0.0,0.0,723
2001,0,178,0.0,0.0,0.0,807
2002,0,207,0.0,0.0,0.0,875
2003,0,286,0.0,0.0,0.0,1195
2004,0,284,0.0,0.0,0.0,1353
2005,0,360,0.0,0.0,0.0,1656
2006,0,467,0.0,0.0,0.0,2040
2007,0,486,0.0,0.0,0.0,2312
2008,0,384,0.0,0.0,0.0,2142
2009,0,364,0.0,0.0,0.0,2032
2010,0,349,0.0,0.0,0.0,1885
2011,0,311,0.0,0.0,0.0,1773
2012,0,323,0.0,0.0,0.0,1538
2013,0,280,1.0,1.0,1.0,1366
2014,0,258,0.0,0.0,0.0,1247
2015,0,241,0.0,0.0,0.0,1038
2016,0,241,0.0,0.0,0.0,905
2017,0,217,0.0,0.0,0.0,779
2018,0,213,2.0,2.0,2.0,557
2019,0,181,0.0,0.0,0.0,394
2020,0,208,0.0,0.0,0.0,87
2021,0,6,0.0,0.0,0.0,1
