parsed_city,zip,year,num_establishments_bls,parsed_addr_zip,num_establishments_business_loc
chicago,_60018,1995,1695.0,,
chicago,_60018,1996,1668.0,,
chicago,_60018,1997,1691.0,,
chicago,_60018,1998,1730.0,,
chicago,_60018,1999,1754.0,,
chicago,_60018,2000,1727.0,,
chicago,_60018,2001,1699.0,,
chicago,_60018,2002,1608.0,,
chicago,_60018,2003,1577.0,,
chicago,_60018,2004,1591.0,,
chicago,_60018,2005,1615.0,,
chicago,_60018,2006,1636.0,,
chicago,_60018,2007,1635.0,,
chicago,_60018,2008,1626.0,,
chicago,_60018,2009,1566.0,,
chicago,_60018,2010,1543.0,,
chicago,_60018,2011,1549.0,,
chicago,_60018,2012,1521.0,,
chicago,_60018,2013,1596.0,,
chicago,_60018,2014,1648.0,,
chicago,_60018,2015,1689.0,,
chicago,_60018,2016,1700.0,,
chicago,_60018,2017,1701.0,,
chicago,_60018,2018,1696.0,,
chicago,_60106,1995,1317.0,,
chicago,_60106,1996,1282.0,,
chicago,_60106,1997,1306.0,,
chicago,_60106,1998,1300.0,,
chicago,_60106,1999,1299.0,,
chicago,_60106,2000,1248.0,,
chicago,_60106,2001,1275.0,,
chicago,_60106,2002,1262.0,,
chicago,_60106,2003,1252.0,,
chicago,_60106,2004,1244.0,,
chicago,_60106,2005,1251.0,,
chicago,_60106,2006,1254.0,,
chicago,_60106,2007,1223.0,,
chicago,_60106,2008,1211.0,,
chicago,_60106,2009,1168.0,,
chicago,_60106,2010,1147.0,,
chicago,_60106,2011,1129.0,,
chicago,_60106,2012,1131.0,,
chicago,_60106,2013,1130.0,,
chicago,_60106,2014,1123.0,,
chicago,_60106,2015,1130.0,,
chicago,_60106,2016,1141.0,,
chicago,_60106,2017,1135.0,,
chicago,_60106,2018,1126.0,,
chicago,_60601,1995,2418.0,_60601,1.0
chicago,_60601,1996,2419.0,_60601,1.0
chicago,_60601,1997,2396.0,,
chicago,_60601,1998,2408.0,_60601,3.0
chicago,_60601,1999,2364.0,_60601,9.0
chicago,_60601,2000,2385.0,_60601,46.0
chicago,_60601,2001,2372.0,_60601,191.0
chicago,_60601,2002,2314.0,_60601,803.0
chicago,_60601,2003,2312.0,_60601,870.0
chicago,_60601,2004,2261.0,_60601,864.0
chicago,_60601,2005,2288.0,_60601,980.0
chicago,_60601,2006,2332.0,_60601,1034.0
chicago,_60601,2007,2390.0,_60601,1109.0
chicago,_60601,2008,2366.0,_60601,1292.0
chicago,_60601,2009,2374.0,_60601,1288.0
chicago,_60601,2010,2381.0,_60601,1392.0
chicago,_60601,2011,2418.0,_60601,1190.0
chicago,_60601,2012,2454.0,_60601,1377.0
chicago,_60601,2013,2471.0,_60601,1230.0
chicago,_60601,2014,2461.0,_60601,1266.0
chicago,_60601,2015,2495.0,_60601,1119.0
chicago,_60601,2016,2515.0,_60601,1120.0
chicago,_60601,2017,2500.0,_60601,1052.0
chicago,_60601,2018,2492.0,_60601,1050.0
chicago,_60602,1995,2011.0,,
chicago,_60602,1996,2029.0,_60602,1.0
chicago,_60602,1997,2008.0,_60602,1.0
chicago,_60602,1998,2037.0,_60602,1.0
chicago,_60602,1999,2042.0,_60602,5.0
chicago,_60602,2000,2054.0,_60602,10.0
chicago,_60602,2001,2079.0,_60602,49.0
chicago,_60602,2002,2003.0,_60602,642.0
chicago,_60602,2003,1999.0,_60602,721.0
chicago,_60602,2004,1998.0,_60602,739.0
chicago,_60602,2005,1944.0,_60602,786.0
chicago,_60602,2006,1962.0,_60602,824.0
chicago,_60602,2007,1941.0,_60602,852.0
chicago,_60602,2008,1920.0,_60602,971.0
chicago,_60602,2009,1868.0,_60602,1019.0
chicago,_60602,2010,1854.0,_60602,1090.0
chicago,_60602,2011,1857.0,_60602,964.0
chicago,_60602,2012,1857.0,_60602,1028.0
chicago,_60602,2013,1861.0,_60602,960.0
chicago,_60602,2014,1848.0,_60602,1025.0
chicago,_60602,2015,1840.0,_60602,932.0
chicago,_60602,2016,1847.0,_60602,912.0
chicago,_60602,2017,1864.0,_60602,832.0
chicago,_60602,2018,1818.0,_60602,861.0
chicago,_60603,1995,1822.0,_60603,1.0
chicago,_60603,1996,1823.0,_60603,4.0
chicago,_60603,1997,1779.0,_60603,4.0
chicago,_60603,1998,1757.0,_60603,2.0
chicago,_60603,1999,1772.0,_60603,4.0
chicago,_60603,2000,1743.0,_60603,5.0
chicago,_60603,2001,1709.0,_60603,37.0
chicago,_60603,2002,1721.0,_60603,515.0
chicago,_60603,2003,1706.0,_60603,589.0
chicago,_60603,2004,1671.0,_60603,580.0
chicago,_60603,2005,1668.0,_60603,596.0
chicago,_60603,2006,1717.0,_60603,626.0
chicago,_60603,2007,1757.0,_60603,647.0
chicago,_60603,2008,1703.0,_60603,784.0
chicago,_60603,2009,1685.0,_60603,769.0
chicago,_60603,2010,1663.0,_60603,815.0
chicago,_60603,2011,1639.0,_60603,715.0
chicago,_60603,2012,1708.0,_60603,791.0
chicago,_60603,2013,1708.0,_60603,728.0
chicago,_60603,2014,1687.0,_60603,767.0
chicago,_60603,2015,1671.0,_60603,691.0
chicago,_60603,2016,1681.0,_60603,744.0
chicago,_60603,2017,1631.0,_60603,676.0
chicago,_60603,2018,1647.0,_60603,715.0
chicago,_60604,1995,1301.0,,
chicago,_60604,1996,1320.0,_60604,1.0
chicago,_60604,1997,1352.0,_60604,2.0
chicago,_60604,1998,1334.0,_60604,2.0
chicago,_60604,1999,1312.0,_60604,6.0
chicago,_60604,2000,1300.0,_60604,10.0
chicago,_60604,2001,1275.0,_60604,37.0
chicago,_60604,2002,1212.0,_60604,485.0
chicago,_60604,2003,1201.0,_60604,530.0
chicago,_60604,2004,1219.0,_60604,528.0
chicago,_60604,2005,1176.0,_60604,524.0
chicago,_60604,2006,1190.0,_60604,508.0
chicago,_60604,2007,1159.0,_60604,504.0
chicago,_60604,2008,1157.0,_60604,570.0
chicago,_60604,2009,1119.0,_60604,559.0
chicago,_60604,2010,1122.0,_60604,610.0
chicago,_60604,2011,1087.0,_60604,499.0
chicago,_60604,2012,1066.0,_60604,543.0
chicago,_60604,2013,1064.0,_60604,458.0
chicago,_60604,2014,1066.0,_60604,490.0
chicago,_60604,2015,1049.0,_60604,457.0
chicago,_60604,2016,1064.0,_60604,454.0
chicago,_60604,2017,1089.0,_60604,394.0
chicago,_60604,2018,1087.0,_60604,405.0
chicago,_60605,1995,960.0,,
chicago,_60605,1996,976.0,_60605,2.0
chicago,_60605,1997,994.0,_60605,2.0
chicago,_60605,1998,1011.0,,
chicago,_60605,1999,1047.0,_60605,4.0
chicago,_60605,2000,1054.0,_60605,25.0
chicago,_60605,2001,997.0,_60605,100.0
chicago,_60605,2002,1022.0,_60605,524.0
chicago,_60605,2003,973.0,_60605,580.0
chicago,_60605,2004,998.0,_60605,618.0
chicago,_60605,2005,986.0,_60605,673.0
chicago,_60605,2006,986.0,_60605,673.0
chicago,_60605,2007,941.0,_60605,694.0
chicago,_60605,2008,970.0,_60605,765.0
chicago,_60605,2009,976.0,_60605,795.0
chicago,_60605,2010,982.0,_60605,844.0
chicago,_60605,2011,1002.0,_60605,798.0
chicago,_60605,2012,949.0,_60605,871.0
chicago,_60605,2013,956.0,_60605,858.0
chicago,_60605,2014,987.0,_60605,894.0
chicago,_60605,2015,998.0,_60605,835.0
chicago,_60605,2016,990.0,_60605,800.0
chicago,_60605,2017,1020.0,_60605,774.0
chicago,_60605,2018,1009.0,_60605,783.0
chicago,_60606,1995,2912.0,,
chicago,_60606,1996,3016.0,_60606,3.0
chicago,_60606,1997,3180.0,_60606,4.0
chicago,_60606,1998,3214.0,_60606,2.0
chicago,_60606,1999,3243.0,_60606,5.0
chicago,_60606,2000,3319.0,_60606,40.0
chicago,_60606,2001,3320.0,_60606,215.0
chicago,_60606,2002,3092.0,_60606,971.0
chicago,_60606,2003,3076.0,_60606,1058.0
chicago,_60606,2004,3126.0,_60606,1045.0
chicago,_60606,2005,3129.0,_60606,1083.0
chicago,_60606,2006,3153.0,_60606,1108.0
chicago,_60606,2007,3221.0,_60606,1134.0
chicago,_60606,2008,3250.0,_60606,1559.0
chicago,_60606,2009,3295.0,_60606,1574.0
chicago,_60606,2010,3236.0,_60606,1726.0
chicago,_60606,2011,3271.0,_60606,1492.0
chicago,_60606,2012,3293.0,_60606,1615.0
chicago,_60606,2013,3325.0,_60606,1429.0
chicago,_60606,2014,3317.0,_60606,1539.0
chicago,_60606,2015,3348.0,_60606,1408.0
chicago,_60606,2016,3342.0,_60606,1437.0
chicago,_60606,2017,3405.0,_60606,1319.0
chicago,_60606,2018,3383.0,_60606,1370.0
chicago,_60607,1995,1396.0,_60607,2.0
chicago,_60607,1996,1376.0,_60607,5.0
chicago,_60607,1997,1455.0,_60607,4.0
chicago,_60607,1998,1446.0,_60607,2.0
chicago,_60607,1999,1429.0,_60607,7.0
chicago,_60607,2000,1438.0,_60607,18.0
chicago,_60607,2001,1424.0,_60607,111.0
chicago,_60607,2002,1428.0,_60607,876.0
chicago,_60607,2003,1485.0,_60607,1000.0
chicago,_60607,2004,1510.0,_60607,1064.0
chicago,_60607,2005,1556.0,_60607,1065.0
chicago,_60607,2006,1595.0,_60607,1106.0
chicago,_60607,2007,1615.0,_60607,1172.0
chicago,_60607,2008,1610.0,_60607,1196.0
chicago,_60607,2009,1607.0,_60607,1155.0
chicago,_60607,2010,1584.0,_60607,1279.0
chicago,_60607,2011,1626.0,_60607,1207.0
chicago,_60607,2012,1668.0,_60607,1376.0
chicago,_60607,2013,1707.0,_60607,1276.0
chicago,_60607,2014,1754.0,_60607,1354.0
chicago,_60607,2015,1915.0,_60607,1275.0
chicago,_60607,2016,1858.0,_60607,1330.0
chicago,_60607,2017,1907.0,_60607,1262.0
chicago,_60607,2018,1934.0,_60607,1294.0
chicago,_60608,1995,1123.0,_60608,1.0
chicago,_60608,1996,1101.0,_60608,7.0
chicago,_60608,1997,1125.0,_60608,8.0
chicago,_60608,1998,1140.0,_60608,4.0
chicago,_60608,1999,1136.0,_60608,10.0
chicago,_60608,2000,1126.0,_60608,22.0
chicago,_60608,2001,1126.0,_60608,70.0
chicago,_60608,2002,1128.0,_60608,1182.0
chicago,_60608,2003,1121.0,_60608,1364.0
chicago,_60608,2004,1144.0,_60608,1388.0
chicago,_60608,2005,1156.0,_60608,1445.0
chicago,_60608,2006,1171.0,_60608,1483.0
chicago,_60608,2007,1185.0,_60608,1474.0
chicago,_60608,2008,1160.0,_60608,1344.0
chicago,_60608,2009,1181.0,_60608,1503.0
chicago,_60608,2010,1199.0,_60608,1361.0
chicago,_60608,2011,1230.0,_60608,1537.0
chicago,_60608,2012,1247.0,_60608,1413.0
chicago,_60608,2013,1294.0,_60608,1542.0
chicago,_60608,2014,1304.0,_60608,1450.0
chicago,_60608,2015,1334.0,_60608,1555.0
chicago,_60608,2016,1371.0,_60608,1481.0
chicago,_60608,2017,1398.0,_60608,1495.0
chicago,_60608,2018,1398.0,_60608,1467.0
chicago,_60609,1995,1015.0,_60609,1.0
chicago,_60609,1996,1002.0,_60609,4.0
chicago,_60609,1997,1000.0,_60609,6.0
chicago,_60609,1998,1011.0,_60609,6.0
chicago,_60609,1999,970.0,_60609,5.0
chicago,_60609,2000,959.0,_60609,18.0
chicago,_60609,2001,949.0,_60609,84.0
chicago,_60609,2002,975.0,_60609,1075.0
chicago,_60609,2003,958.0,_60609,1218.0
chicago,_60609,2004,950.0,_60609,1251.0
chicago,_60609,2005,968.0,_60609,1290.0
chicago,_60609,2006,954.0,_60609,1338.0
chicago,_60609,2007,970.0,_60609,1349.0
chicago,_60609,2008,925.0,_60609,1345.0
chicago,_60609,2009,893.0,_60609,1372.0
chicago,_60609,2010,912.0,_60609,1443.0
chicago,_60609,2011,936.0,_60609,1296.0
chicago,_60609,2012,962.0,_60609,1380.0
chicago,_60609,2013,956.0,_60609,1257.0
chicago,_60609,2014,949.0,_60609,1294.0
chicago,_60609,2015,958.0,_60609,1229.0
chicago,_60609,2016,972.0,_60609,1214.0
chicago,_60609,2017,988.0,_60609,1160.0
chicago,_60609,2018,986.0,_60609,1191.0
chicago,_60610,1995,2759.0,,
chicago,_60610,1996,2737.0,,
chicago,_60610,1997,2818.0,_60610,1.0
chicago,_60610,1998,2835.0,_60610,5.0
chicago,_60610,1999,2831.0,_60610,7.0
chicago,_60610,2000,2788.0,_60610,9.0
chicago,_60610,2001,2791.0,_60610,39.0
chicago,_60610,2002,2790.0,_60610,557.0
chicago,_60610,2003,2827.0,_60610,627.0
chicago,_60610,2004,2851.0,_60610,671.0
chicago,_60610,2005,2849.0,_60610,680.0
chicago,_60610,2006,2957.0,_60610,659.0
chicago,_60610,2007,2762.0,_60610,693.0
chicago,_60610,2008,2649.0,_60610,660.0
chicago,_60610,2009,2506.0,_60610,671.0
chicago,_60610,2010,2386.0,_60610,724.0
chicago,_60610,2011,2307.0,_60610,655.0
chicago,_60610,2012,1914.0,_60610,738.0
chicago,_60610,2013,1857.0,_60610,721.0
chicago,_60610,2014,1773.0,_60610,728.0
chicago,_60610,2015,1767.0,_60610,723.0
chicago,_60610,2016,1725.0,_60610,748.0
chicago,_60610,2017,1639.0,_60610,686.0
chicago,_60610,2018,1602.0,_60610,658.0
chicago,_60611,1995,2758.0,_60611,2.0
chicago,_60611,1996,2807.0,_60611,4.0
