parsed_city,zip,year,num_establishments_bls,parsed_addr_zip,num_establishments_business_loc
san diego,_92014,1994,659.0,,
san diego,_92014,1995,658.0,,
san diego,_92014,1996,633.0,,
san diego,_92014,1997,660.0,,
san diego,_92014,1998,668.0,,
san diego,_92014,1999,677.0,,
san diego,_92014,2000,721.0,,
san diego,_92014,2001,726.0,,
san diego,_92014,2002,734.0,,
san diego,_92014,2003,752.0,,
san diego,_92014,2004,763.0,,
san diego,_92014,2005,771.0,,
san diego,_92014,2006,791.0,,
san diego,_92014,2007,776.0,,
san diego,_92014,2008,761.0,,
san diego,_92014,2009,739.0,,
san diego,_92014,2010,748.0,,
san diego,_92014,2011,744.0,,
san diego,_92014,2012,760.0,,
san diego,_92014,2013,781.0,,
san diego,_92014,2014,818.0,,
san diego,_92014,2015,811.0,,
san diego,_92014,2016,819.0,,
san diego,_92014,2017,801.0,,
san diego,_92014,2018,816.0,,
san diego,_92101,1994,3222.0,_92101,1689.0
san diego,_92101,1995,3151.0,_92101,1905.0
san diego,_92101,1996,3236.0,_92101,2113.0
san diego,_92101,1997,3326.0,_92101,2445.0
san diego,_92101,1998,3394.0,_92101,2649.0
san diego,_92101,1999,3424.0,_92101,2712.0
san diego,_92101,2000,3463.0,_92101,2758.0
san diego,_92101,2001,3492.0,_92101,2814.0
san diego,_92101,2002,3543.0,_92101,2863.0
san diego,_92101,2003,3588.0,_92101,3029.0
san diego,_92101,2004,3645.0,_92101,3185.0
san diego,_92101,2005,3700.0,_92101,3438.0
san diego,_92101,2006,3815.0,_92101,3557.0
san diego,_92101,2007,3704.0,_92101,3979.0
san diego,_92101,2008,3704.0,_92101,3915.0
san diego,_92101,2009,3712.0,_92101,3662.0
san diego,_92101,2010,3676.0,_92101,3493.0
san diego,_92101,2011,3723.0,_92101,3280.0
san diego,_92101,2012,3790.0,_92101,3179.0
san diego,_92101,2013,3848.0,_92101,3402.0
san diego,_92101,2014,3982.0,_92101,3706.0
san diego,_92101,2015,4106.0,_92101,3867.0
san diego,_92101,2016,4192.0,_92101,3949.0
san diego,_92101,2017,4235.0,_92101,3847.0
san diego,_92101,2018,4280.0,_92101,3716.0
san diego,_92102,1994,420.0,_92102,509.0
san diego,_92102,1995,420.0,_92102,513.0
san diego,_92102,1996,432.0,_92102,544.0
san diego,_92102,1997,431.0,_92102,599.0
san diego,_92102,1998,439.0,_92102,652.0
san diego,_92102,1999,439.0,_92102,727.0
san diego,_92102,2000,446.0,_92102,742.0
san diego,_92102,2001,458.0,_92102,771.0
san diego,_92102,2002,468.0,_92102,815.0
san diego,_92102,2003,480.0,_92102,888.0
san diego,_92102,2004,504.0,_92102,941.0
san diego,_92102,2005,499.0,_92102,1003.0
san diego,_92102,2006,498.0,_92102,1001.0
san diego,_92102,2007,487.0,_92102,1028.0
san diego,_92102,2008,482.0,_92102,984.0
san diego,_92102,2009,468.0,_92102,921.0
san diego,_92102,2010,468.0,_92102,845.0
san diego,_92102,2011,482.0,_92102,789.0
san diego,_92102,2012,496.0,_92102,763.0
san diego,_92102,2013,505.0,_92102,800.0
san diego,_92102,2014,536.0,_92102,919.0
san diego,_92102,2015,543.0,_92102,982.0
san diego,_92102,2016,543.0,_92102,980.0
san diego,_92102,2017,560.0,_92102,979.0
san diego,_92102,2018,584.0,_92102,1015.0
san diego,_92103,1994,1392.0,_92103,857.0
san diego,_92103,1995,1366.0,_92103,1002.0
san diego,_92103,1996,1383.0,_92103,1100.0
san diego,_92103,1997,1407.0,_92103,1261.0
san diego,_92103,1998,1389.0,_92103,1369.0
san diego,_92103,1999,1405.0,_92103,1444.0
san diego,_92103,2000,1480.0,_92103,1493.0
san diego,_92103,2001,1446.0,_92103,1517.0
san diego,_92103,2002,1488.0,_92103,1522.0
san diego,_92103,2003,1498.0,_92103,1625.0
san diego,_92103,2004,1535.0,_92103,1686.0
san diego,_92103,2005,1599.0,_92103,1753.0
san diego,_92103,2006,1627.0,_92103,1759.0
san diego,_92103,2007,1589.0,_92103,1920.0
san diego,_92103,2008,1577.0,_92103,1946.0
san diego,_92103,2009,1550.0,_92103,1824.0
san diego,_92103,2010,1570.0,_92103,1763.0
san diego,_92103,2011,1582.0,_92103,1717.0
san diego,_92103,2012,1598.0,_92103,1710.0
san diego,_92103,2013,1637.0,_92103,1783.0
san diego,_92103,2014,1686.0,_92103,1901.0
san diego,_92103,2015,1690.0,_92103,2004.0
