parsed_city,zip,year,num_establishments_bls,parsed_addr_zip,num_establishments_business_loc
seattle,_98101,1994,2690.0,_98101,1306.0
seattle,_98101,1995,2781.0,_98101,1458.0
seattle,_98101,1996,2779.0,_98101,1627.0
seattle,_98101,1997,2881.0,_98101,1798.0
seattle,_98101,1998,2894.0,_98101,1987.0
seattle,_98101,1999,2932.0,_98101,2451.0
seattle,_98101,2000,2895.0,_98101,2749.0
seattle,_98101,2001,2892.0,_98101,2946.0
seattle,_98101,2002,2836.0,_98101,2932.0
seattle,_98101,2003,2858.0,_98101,2954.0
seattle,_98101,2004,2960.0,_98101,3021.0
seattle,_98101,2005,2980.0,_98101,3088.0
seattle,_98101,2006,2986.0,_98101,3190.0
seattle,_98101,2007,3006.0,_98101,3174.0
seattle,_98101,2008,2974.0,_98101,3157.0
seattle,_98101,2009,2951.0,_98101,3211.0
seattle,_98101,2010,2921.0,_98101,3201.0
seattle,_98101,2011,2880.0,_98101,3212.0
seattle,_98101,2012,2966.0,_98101,3298.0
seattle,_98101,2013,2931.0,_98101,3317.0
seattle,_98101,2014,2919.0,_98101,3341.0
seattle,_98101,2015,2956.0,_98101,3411.0
seattle,_98101,2016,2927.0,_98101,3455.0
seattle,_98101,2017,2906.0,_98101,3352.0
seattle,_98101,2018,2877.0,_98101,3343.0
seattle,_98102,1994,814.0,_98102,455.0
seattle,_98102,1995,799.0,_98102,502.0
seattle,_98102,1996,836.0,_98102,563.0
seattle,_98102,1997,784.0,_98102,649.0
seattle,_98102,1998,760.0,_98102,718.0
seattle,_98102,1999,755.0,_98102,833.0
seattle,_98102,2000,779.0,_98102,985.0
seattle,_98102,2001,755.0,_98102,1072.0
seattle,_98102,2002,710.0,_98102,1091.0
seattle,_98102,2003,702.0,_98102,1093.0
seattle,_98102,2004,699.0,_98102,1114.0
seattle,_98102,2005,702.0,_98102,1158.0
seattle,_98102,2006,731.0,_98102,1190.0
seattle,_98102,2007,709.0,_98102,1200.0
seattle,_98102,2008,726.0,_98102,1194.0
seattle,_98102,2009,734.0,_98102,1247.0
seattle,_98102,2010,739.0,_98102,1209.0
seattle,_98102,2011,720.0,_98102,1248.0
seattle,_98102,2012,721.0,_98102,1319.0
seattle,_98102,2013,729.0,_98102,1428.0
seattle,_98102,2014,764.0,_98102,1483.0
seattle,_98102,2015,785.0,_98102,1579.0
seattle,_98102,2016,813.0,_98102,1657.0
seattle,_98102,2017,839.0,_98102,1602.0
seattle,_98102,2018,864.0,_98102,1604.0
seattle,_98103,1994,1366.0,_98103,1021.0
seattle,_98103,1995,1369.0,_98103,1125.0
seattle,_98103,1996,1367.0,_98103,1301.0
seattle,_98103,1997,1424.0,_98103,1429.0
seattle,_98103,1998,1457.0,_98103,1627.0
seattle,_98103,1999,1484.0,_98103,1849.0
seattle,_98103,2000,1506.0,_98103,2134.0
seattle,_98103,2001,1470.0,_98103,2348.0
seattle,_98103,2002,1506.0,_98103,2420.0
seattle,_98103,2003,1515.0,_98103,2503.0
seattle,_98103,2004,1597.0,_98103,2560.0
seattle,_98103,2005,1630.0,_98103,2652.0
seattle,_98103,2006,1654.0,_98103,2787.0
seattle,_98103,2007,1666.0,_98103,2891.0
seattle,_98103,2008,1744.0,_98103,2952.0
seattle,_98103,2009,1724.0,_98103,3051.0
seattle,_98103,2010,1718.0,_98103,2990.0
seattle,_98103,2011,1779.0,_98103,3147.0
seattle,_98103,2012,1771.0,_98103,3324.0
seattle,_98103,2013,1862.0,_98103,3517.0
seattle,_98103,2014,1897.0,_98103,3677.0
seattle,_98103,2015,1951.0,_98103,3830.0
seattle,_98103,2016,1955.0,_98103,3991.0
seattle,_98103,2017,1964.0,_98103,3902.0
seattle,_98103,2018,2009.0,_98103,3889.0
seattle,_98104,1994,2073.0,_98104,940.0
seattle,_98104,1995,2062.0,_98104,1037.0
seattle,_98104,1996,2118.0,_98104,1155.0
seattle,_98104,1997,2116.0,_98104,1303.0
seattle,_98104,1998,2131.0,_98104,1450.0
seattle,_98104,1999,2106.0,_98104,1768.0
seattle,_98104,2000,2098.0,_98104,2040.0
seattle,_98104,2001,2090.0,_98104,2171.0
seattle,_98104,2002,2049.0,_98104,2197.0
seattle,_98104,2003,2052.0,_98104,2259.0
seattle,_98104,2004,2066.0,_98104,2322.0
seattle,_98104,2005,2127.0,_98104,2423.0
seattle,_98104,2006,2193.0,_98104,2461.0
seattle,_98104,2007,2220.0,_98104,2497.0
seattle,_98104,2008,2241.0,_98104,2500.0
seattle,_98104,2009,2179.0,_98104,2546.0
seattle,_98104,2010,2185.0,_98104,2560.0
seattle,_98104,2011,2178.0,_98104,2663.0
seattle,_98104,2012,2151.0,_98104,2713.0
seattle,_98104,2013,2180.0,_98104,2857.0
seattle,_98104,2014,2223.0,_98104,3058.0
seattle,_98104,2015,2281.0,_98104,3126.0
seattle,_98104,2016,2308.0,_98104,3231.0
seattle,_98104,2017,2392.0,_98104,3248.0
seattle,_98104,2018,2445.0,_98104,3291.0
seattle,_98105,1994,1009.0,_98105,704.0
seattle,_98105,1995,1002.0,_98105,769.0
seattle,_98105,1996,1021.0,_98105,857.0
seattle,_98105,1997,1069.0,_98105,967.0
seattle,_98105,1998,1080.0,_98105,1080.0
seattle,_98105,1999,1092.0,_98105,1274.0
seattle,_98105,2000,1113.0,_98105,1451.0
seattle,_98105,2001,1115.0,_98105,1566.0
seattle,_98105,2002,1096.0,_98105,1602.0
seattle,_98105,2003,1085.0,_98105,1631.0
seattle,_98105,2004,1128.0,_98105,1692.0
seattle,_98105,2005,1170.0,_98105,1778.0
seattle,_98105,2006,1191.0,_98105,1803.0
seattle,_98105,2007,1209.0,_98105,1824.0
seattle,_98105,2008,1220.0,_98105,1841.0
seattle,_98105,2009,1225.0,_98105,1897.0
seattle,_98105,2010,1219.0,_98105,1835.0
seattle,_98105,2011,1228.0,_98105,1884.0
seattle,_98105,2012,1266.0,_98105,1932.0
seattle,_98105,2013,1262.0,_98105,2012.0
seattle,_98105,2014,1271.0,_98105,2127.0
seattle,_98105,2015,1289.0,_98105,2635.0
seattle,_98105,2016,1295.0,_98105,2593.0
seattle,_98105,2017,1320.0,_98105,2611.0
seattle,_98105,2018,1346.0,_98105,2629.0
seattle,_98106,1994,282.0,_98106,262.0
seattle,_98106,1995,300.0,_98106,291.0
seattle,_98106,1996,298.0,_98106,338.0
seattle,_98106,1997,298.0,_98106,381.0
seattle,_98106,1998,313.0,_98106,433.0
seattle,_98106,1999,307.0,_98106,483.0
seattle,_98106,2000,301.0,_98106,571.0
seattle,_98106,2001,308.0,_98106,645.0
seattle,_98106,2002,337.0,_98106,673.0
seattle,_98106,2003,351.0,_98106,667.0
seattle,_98106,2004,353.0,_98106,681.0
seattle,_98106,2005,355.0,_98106,721.0
seattle,_98106,2006,360.0,_98106,760.0
seattle,_98106,2007,387.0,_98106,816.0
seattle,_98106,2008,392.0,_98106,862.0
seattle,_98106,2009,383.0,_98106,886.0
seattle,_98106,2010,392.0,_98106,820.0
seattle,_98106,2011,399.0,_98106,784.0
seattle,_98106,2012,384.0,_98106,821.0
seattle,_98106,2013,378.0,_98106,888.0
seattle,_98106,2014,397.0,_98106,936.0
seattle,_98106,2015,416.0,_98106,999.0
seattle,_98106,2016,447.0,_98106,1044.0
seattle,_98106,2017,474.0,_98106,1008.0
seattle,_98106,2018,493.0,_98106,989.0
seattle,_98107,1994,964.0,_98107,685.0
seattle,_98107,1995,992.0,_98107,755.0
seattle,_98107,1996,1011.0,_98107,845.0
seattle,_98107,1997,1035.0,_98107,925.0
seattle,_98107,1998,1067.0,_98107,1030.0
seattle,_98107,1999,1074.0,_98107,1136.0
seattle,_98107,2000,1093.0,_98107,1278.0
seattle,_98107,2001,1056.0,_98107,1363.0
seattle,_98107,2002,1065.0,_98107,1406.0
seattle,_98107,2003,1090.0,_98107,1471.0
seattle,_98107,2004,1103.0,_98107,1541.0
seattle,_98107,2005,1120.0,_98107,1580.0
seattle,_98107,2006,1154.0,_98107,1649.0
seattle,_98107,2007,1207.0,_98107,1737.0
seattle,_98107,2008,1198.0,_98107,1782.0
seattle,_98107,2009,1174.0,_98107,1876.0
seattle,_98107,2010,1184.0,_98107,1892.0
seattle,_98107,2011,1158.0,_98107,1991.0
seattle,_98107,2012,1170.0,_98107,2077.0
seattle,_98107,2013,1212.0,_98107,2121.0
seattle,_98107,2014,1230.0,_98107,2177.0
seattle,_98107,2015,1287.0,_98107,2260.0
seattle,_98107,2016,1309.0,_98107,2339.0
seattle,_98107,2017,1315.0,_98107,2379.0
seattle,_98107,2018,1331.0,_98107,2406.0
seattle,_98108,1994,1203.0,_98108,806.0
seattle,_98108,1995,1214.0,_98108,862.0
seattle,_98108,1996,1200.0,_98108,930.0
seattle,_98108,1997,1252.0,_98108,1005.0
seattle,_98108,1998,1247.0,_98108,1096.0
seattle,_98108,1999,1247.0,_98108,1210.0
seattle,_98108,2000,1245.0,_98108,1353.0
seattle,_98108,2001,1211.0,_98108,1455.0
seattle,_98108,2002,1227.0,_98108,1512.0
seattle,_98108,2003,1213.0,_98108,1562.0
seattle,_98108,2004,1196.0,_98108,1607.0
seattle,_98108,2005,1194.0,_98108,1627.0
seattle,_98108,2006,1209.0,_98108,1655.0
seattle,_98108,2007,1258.0,_98108,1732.0
seattle,_98108,2008,1255.0,_98108,1715.0
seattle,_98108,2009,1226.0,_98108,1747.0
seattle,_98108,2010,1237.0,_98108,1664.0
seattle,_98108,2011,1225.0,_98108,1714.0
seattle,_98108,2012,1216.0,_98108,1793.0
seattle,_98108,2013,1214.0,_98108,1854.0
seattle,_98108,2014,1234.0,_98108,1963.0
seattle,_98108,2015,1265.0,_98108,2007.0
seattle,_98108,2016,1307.0,_98108,2070.0
seattle,_98108,2017,1300.0,_98108,1961.0
seattle,_98108,2018,1314.0,_98108,1994.0
seattle,_98109,1994,1504.0,_98109,970.0
seattle,_98109,1995,1514.0,_98109,1090.0
seattle,_98109,1996,1503.0,_98109,1209.0
seattle,_98109,1997,1524.0,_98109,1342.0
seattle,_98109,1998,1570.0,_98109,1522.0
seattle,_98109,1999,1565.0,_98109,1759.0
seattle,_98109,2000,1574.0,_98109,2016.0
seattle,_98109,2001,1521.0,_98109,2163.0
seattle,_98109,2002,1481.0,_98109,2235.0
seattle,_98109,2003,1495.0,_98109,2248.0
seattle,_98109,2004,1518.0,_98109,2354.0
seattle,_98109,2005,1574.0,_98109,2423.0
seattle,_98109,2006,1639.0,_98109,2581.0
seattle,_98109,2007,1570.0,_98109,2633.0
seattle,_98109,2008,1571.0,_98109,2675.0
seattle,_98109,2009,1542.0,_98109,2791.0
seattle,_98109,2010,1513.0,_98109,2805.0
seattle,_98109,2011,1552.0,_98109,2967.0
seattle,_98109,2012,1579.0,_98109,3081.0
seattle,_98109,2013,1596.0,_98109,3265.0
seattle,_98109,2014,1611.0,_98109,3355.0
seattle,_98109,2015,1677.0,_98109,3428.0
seattle,_98109,2016,1702.0,_98109,3594.0
seattle,_98109,2017,1744.0,_98109,3497.0
seattle,_98109,2018,1761.0,_98109,3521.0
seattle,_98112,1994,485.0,_98112,409.0
seattle,_98112,1995,504.0,_98112,460.0
seattle,_98112,1996,548.0,_98112,534.0
seattle,_98112,1997,548.0,_98112,596.0
seattle,_98112,1998,551.0,_98112,686.0
seattle,_98112,1999,571.0,_98112,771.0
seattle,_98112,2000,560.0,_98112,885.0
seattle,_98112,2001,561.0,_98112,958.0
seattle,_98112,2002,559.0,_98112,995.0
seattle,_98112,2003,543.0,_98112,1022.0
seattle,_98112,2004,562.0,_98112,1069.0
seattle,_98112,2005,586.0,_98112,1118.0
seattle,_98112,2006,591.0,_98112,1181.0
seattle,_98112,2007,591.0,_98112,1172.0
seattle,_98112,2008,595.0,_98112,1162.0
seattle,_98112,2009,597.0,_98112,1202.0
seattle,_98112,2010,603.0,_98112,1175.0
seattle,_98112,2011,578.0,_98112,1246.0
seattle,_98112,2012,584.0,_98112,1318.0
seattle,_98112,2013,602.0,_98112,1351.0
seattle,_98112,2014,619.0,_98112,1404.0
seattle,_98112,2015,639.0,_98112,1429.0
seattle,_98112,2016,653.0,_98112,1445.0
seattle,_98112,2017,664.0,_98112,1362.0
seattle,_98112,2018,693.0,_98112,1359.0
seattle,_98114,1994,32.0,,
seattle,_98114,1995,33.0,,
seattle,_98114,1996,31.0,,
seattle,_98114,1997,23.0,,
seattle,_98114,1998,17.0,,
seattle,_98114,1999,18.0,,
seattle,_98114,2000,18.0,,
seattle,_98114,2001,20.0,,
seattle,_98114,2002,11.0,,
seattle,_98114,2003,11.0,,
