parsed_city,zip,year,num_establishments_bls,parsed_addr_zip,num_establishments_business_loc
st louis,_63101,2009,636.0,_63101,472.0
st louis,_63101,2010,617.0,_63101,505.0
st louis,_63101,2011,624.0,_63101,520.0
st louis,_63101,2012,617.0,_63101,517.0
st louis,_63101,2013,675.0,_63101,516.0
st louis,_63101,2014,697.0,_63101,479.0
st louis,_63101,2015,708.0,_63101,463.0
st louis,_63101,2016,667.0,_63101,411.0
st louis,_63101,2017,630.0,_63101,410.0
st louis,_63101,2018,628.0,_63101,387.0
st louis,_63102,2009,517.0,_63102,522.0
st louis,_63102,2010,494.0,_63102,574.0
st louis,_63102,2011,486.0,_63102,535.0
st louis,_63102,2012,485.0,_63102,495.0
st louis,_63102,2013,476.0,_63102,487.0
st louis,_63102,2014,497.0,_63102,467.0
st louis,_63102,2015,475.0,_63102,470.0
st louis,_63102,2016,478.0,_63102,483.0
st louis,_63102,2017,480.0,_63102,481.0
st louis,_63102,2018,480.0,_63102,477.0
st louis,_63103,2009,727.0,_63103,735.0
st louis,_63103,2010,759.0,_63103,754.0
st louis,_63103,2011,751.0,_63103,758.0
st louis,_63103,2012,787.0,_63103,761.0
st louis,_63103,2013,818.0,_63103,790.0
st louis,_63103,2014,850.0,_63103,762.0
st louis,_63103,2015,866.0,_63103,725.0
st louis,_63103,2016,893.0,_63103,784.0
st louis,_63103,2017,788.0,_63103,797.0
st louis,_63103,2018,807.0,_63103,832.0
st louis,_63104,2009,544.0,_63104,683.0
st louis,_63104,2010,542.0,_63104,702.0
st louis,_63104,2011,531.0,_63104,689.0
st louis,_63104,2012,577.0,_63104,686.0
st louis,_63104,2013,607.0,_63104,685.0
st louis,_63104,2014,668.0,_63104,678.0
st louis,_63104,2015,724.0,_63104,686.0
st louis,_63104,2016,754.0,_63104,677.0
st louis,_63104,2017,584.0,_63104,674.0
st louis,_63104,2018,603.0,_63104,667.0
st louis,_63105,2009,1540.0,_63105,19.0
st louis,_63105,2010,1539.0,_63105,22.0
st louis,_63105,2011,1508.0,_63105,22.0
st louis,_63105,2012,1497.0,_63105,22.0
st louis,_63105,2013,1490.0,_63105,19.0
st louis,_63105,2014,1517.0,_63105,21.0
st louis,_63105,2015,1525.0,_63105,20.0
st louis,_63105,2016,1694.0,_63105,21.0
st louis,_63105,2017,1708.0,_63105,21.0
st louis,_63105,2018,1727.0,_63105,22.0
st louis,_63106,2009,217.0,_63106,325.0
st louis,_63106,2010,239.0,_63106,313.0
st louis,_63106,2011,221.0,_63106,327.0
st louis,_63106,2012,245.0,_63106,317.0
