location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1801.0,1,0,1.0,1.0,1.0,1.0
1820.0,2,1,2.0,2.0,2.0,2.0
1850.0,1,1,1.0,1.0,1.0,1.0
1852.0,1,0,1.0,1.0,1.0,1.0
1860.0,1,0,1.0,1.0,1.0,1.0
1868.0,1,0,1.0,1.0,1.0,1.0
1871.0,1,0,1.0,1.0,1.0,1.0
1877.0,1,0,1.0,1.0,1.0,1.0
1901.0,12,2,12.0,12.0,12.0,12.0
1902.0,1,1,1.0,1.0,1.0,1.0
1903.0,1,0,1.0,1.0,1.0,1.0
1905.0,3,1,3.0,3.0,3.0,3.0
1906.0,1,0,1.0,1.0,1.0,1.0
1907.0,1,0,1.0,1.0,1.0,1.0
1908.0,1,0,1.0,1.0,1.0,1.0
1909.0,3,0,3.0,3.0,3.0,3.0
1910.0,2,0,2.0,2.0,2.0,2.0
1911.0,4,1,4.0,4.0,4.0,4.0
1913.0,1,0,1.0,1.0,1.0,1.0
1914.0,1,0,1.0,1.0,1.0,1.0
1915.0,4,1,4.0,4.0,4.0,4.0
1916.0,11,5,11.0,11.0,11.0,11.0
1917.0,15,5,15.0,15.0,15.0,15.0
1918.0,16,5,16.0,16.0,16.0,16.0
1919.0,18,3,18.0,18.0,18.0,18.0
1920.0,9,5,9.0,9.0,9.0,9.0
1921.0,1,1,1.0,1.0,1.0,1.0
1922.0,3,0,3.0,3.0,3.0,3.0
1924.0,1,0,1.0,1.0,1.0,1.0
1925.0,1,0,1.0,1.0,1.0,1.0
1926.0,2,0,2.0,2.0,2.0,2.0
1927.0,1,0,1.0,1.0,1.0,1.0
1928.0,1,0,1.0,1.0,1.0,1.0
1929.0,1,1,1.0,1.0,1.0,1.0
1931.0,1,0,1.0,1.0,1.0,1.0
1932.0,1,1,1.0,1.0,1.0,1.0
1933.0,2,0,2.0,2.0,2.0,2.0
1935.0,1,0,1.0,1.0,1.0,1.0
1936.0,1,0,1.0,1.0,1.0,1.0
1941.0,1,0,1.0,1.0,1.0,1.0
1943.0,1,0,1.0,1.0,1.0,1.0
1946.0,2,0,2.0,2.0,2.0,2.0
1947.0,1,0,1.0,1.0,1.0,1.0
1948.0,2,1,2.0,2.0,2.0,2.0
1949.0,2,0,2.0,2.0,2.0,2.0
1950.0,3,0,3.0,3.0,3.0,3.0
1951.0,1,0,1.0,1.0,1.0,1.0
1952.0,3,0,3.0,3.0,3.0,3.0
1953.0,2,0,2.0,2.0,2.0,2.0
1954.0,2,0,2.0,2.0,2.0,2.0
1955.0,2,1,2.0,2.0,2.0,2.0
1956.0,4,0,4.0,4.0,4.0,4.0
1957.0,3,0,3.0,3.0,3.0,3.0
1958.0,3,0,3.0,3.0,3.0,3.0
1959.0,2,0,2.0,2.0,2.0,2.0
1960.0,7,1,7.0,7.0,7.0,7.0
1961.0,8,4,8.0,8.0,8.0,8.0
1962.0,12,5,12.0,12.0,12.0,12.0
1963.0,7,4,7.0,7.0,7.0,7.0
1964.0,9,6,9.0,9.0,9.0,9.0
1965.0,15,10,15.0,15.0,15.0,15.0
1966.0,18,8,18.0,18.0,18.0,18.0
1967.0,24,8,24.0,24.0,24.0,24.0
1968.0,26,8,26.0,26.0,26.0,26.0
1969.0,27,9,27.0,27.0,27.0,27.0
1970.0,23,9,23.0,23.0,23.0,23.0
1971.0,36,17,36.0,36.0,36.0,36.0
1972.0,772,243,772.0,772.0,772.0,772.0
1973.0,141,52,141.0,141.0,141.0,141.0
1974.0,175,65,175.0,175.0,175.0,175.0
1975.0,128,51,128.0,128.0,128.0,128.0
1976.0,173,64,173.0,173.0,173.0,173.0
1977.0,229,97,229.0,229.0,229.0,229.0
1978.0,207,92,207.0,207.0,207.0,207.0
1979.0,248,96,248.0,248.0,248.0,248.0
1980.0,237,89,237.0,237.0,237.0,237.0
1981.0,276,129,276.0,276.0,276.0,276.0
1982.0,261,102,261.0,261.0,261.0,261.0
1983.0,328,152,328.0,328.0,328.0,328.0
1984.0,413,171,413.0,413.0,413.0,413.0
1985.0,445,177,445.0,445.0,445.0,445.0
1986.0,547,218,547.0,547.0,547.0,547.0
1987.0,534,205,534.0,534.0,534.0,534.0
1988.0,510,180,510.0,510.0,510.0,510.0
1989.0,612,248,612.0,612.0,612.0,612.0
1990.0,692,269,692.0,692.0,692.0,692.0
1991.0,748,255,748.0,748.0,748.0,748.0
1992.0,701,249,701.0,701.0,701.0,701.0
1993.0,694,237,694.0,694.0,694.0,694.0
1994.0,792,278,792.0,792.0,792.0,792.0
1995.0,1747,905,1747.0,1747.0,1747.0,1747.0
1996.0,1280,493,1280.0,1280.0,1280.0,1280.0
1997.0,1365,474,1365.0,1365.0,1365.0,1365.0
1998.0,1501,505,1501.0,1501.0,1501.0,1501.0
1999.0,1819,664,1819.0,1819.0,1819.0,1819.0
2000.0,2407,967,2407.0,2407.0,2407.0,2407.0
2001.0,3051,1227,3051.0,3051.0,3051.0,3051.0
