location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1929,1,0,0.0,0.0,0.0,0
1930,1,0,0.0,0.0,0.0,0
1931,1,0,0.0,0.0,0.0,0
1933,1,1,0.0,0.0,0.0,1
1934,1,0,0.0,0.0,0.0,1
1940,1,0,0.0,0.0,0.0,1
1941,2,0,0.0,0.0,0.0,1
1942,1,0,0.0,0.0,0.0,0
1943,49,1,0.0,0.0,0.0,27
1944,5,0,0.0,0.0,0.0,2
1945,1,0,0.0,0.0,0.0,0
1946,3,0,0.0,0.0,0.0,1
1947,5,0,0.0,0.0,0.0,2
1948,8,1,0.0,0.0,0.0,6
1949,7,0,0.0,0.0,0.0,3
1950,11,1,0.0,0.0,0.0,6
1951,10,0,0.0,0.0,0.0,4
1952,15,1,0.0,0.0,0.0,11
1953,30,5,0.0,0.0,0.0,23
1954,23,2,0.0,0.0,0.0,13
1955,32,6,0.0,0.0,0.0,25
1956,32,5,0.0,0.0,0.0,19
1957,28,4,0.0,0.0,0.0,18
1958,41,5,0.0,0.0,0.0,29
1959,56,3,0.0,0.0,0.0,40
1960,61,6,0.0,0.0,0.0,41
1961,80,11,0.0,0.0,0.0,54
1962,76,14,0.0,0.0,0.0,46
1963,68,11,0.0,0.0,0.0,42
1964,80,10,0.0,0.0,0.0,49
1965,85,13,0.0,0.0,0.0,57
1966,109,18,0.0,0.0,0.0,81
1967,130,15,0.0,0.0,0.0,99
1968,124,28,0.0,0.0,0.0,84
1969,223,22,0.0,0.0,0.0,159
1970,174,31,0.0,0.0,0.0,131
1971,177,37,0.0,0.0,0.0,122
1972,231,37,0.0,0.0,0.0,172
1973,268,63,0.0,0.0,0.0,186
1974,267,42,0.0,0.0,0.0,181
1975,296,68,0.0,0.0,0.0,200
1976,388,79,0.0,0.0,0.0,285
1977,403,88,0.0,0.0,0.0,282
1978,452,100,0.0,0.0,0.0,321
1979,534,136,0.0,0.0,0.0,382
1980,599,144,0.0,0.0,0.0,407
1981,759,191,0.0,0.0,0.0,544
1982,1011,200,0.0,0.0,0.0,687
1983,1134,255,0.0,0.0,0.0,810
1984,1244,337,0.0,0.0,0.0,909
1985,1312,324,0.0,0.0,0.0,935
1986,1647,368,0.0,0.0,0.0,1173
1987,2046,502,0.0,0.0,0.0,1420
1988,1832,442,0.0,0.0,0.0,1299
1989,1925,509,0.0,0.0,0.0,1379
1990,2422,666,0.0,0.0,0.0,1722
1991,2328,651,0.0,0.0,0.0,1688
1992,2698,791,0.0,0.0,0.0,1958
1993,2706,748,0.0,0.0,0.0,1948
1994,3153,791,0.0,0.0,0.0,2294
1995,3563,899,0.0,0.0,0.0,2631
1996,5072,1373,0.0,0.0,0.0,3813
1997,4900,1264,0.0,0.0,0.0,3711
1998,5788,1559,0.0,0.0,0.0,4474
1999,7644,2151,0.0,0.0,0.0,5394
2000,8080,2506,0.0,0.0,0.0,6772
2001,8811,2872,0.0,0.0,0.0,7471
2002,9361,2940,0.0,0.0,0.0,7825
2003,9284,2783,0.0,0.0,0.0,7540
2004,9273,2623,0.0,0.0,0.0,7488
2005,9073,2619,0.0,0.0,0.0,7200
2006,9361,2554,0.0,0.0,0.0,7272
2007,10066,2779,0.0,0.0,0.0,7647
2008,10030,2845,0.0,0.0,0.0,7563
2009,10086,2987,0.0,0.0,0.0,7258
2010,9657,2827,0.0,0.0,0.0,6825
2011,9736,2737,0.0,0.0,0.0,6806
2012,10499,2943,0.0,0.0,0.0,6794
2013,10945,3102,216.0,216.0,216.0,6504
2014,12772,4431,0.0,0.0,0.0,7113
2015,12655,4312,0.0,0.0,0.0,5860
2016,12643,4759,0.0,0.0,0.0,3657
2017,16117,7637,0.0,0.0,0.0,3718
2018,13145,5399,0.0,0.0,0.0,2316
2019,12111,4365,0.0,0.0,0.0,1014
2020,4437,1066,0.0,0.0,0.0,202
2021,7,1,0.0,0.0,0.0,1
